Date,ADI,ALAB,AMAT,AMD,ASML,AVGO,CRDO,ENTG,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MTSI,MU,NVDA,NVMI,NXPI,ON,QCOM,RMBS,TER,TSM,TXN,1211.SR,AA,AAL,ANTO.L,BHP,BWJ0.F,FCX,FVJA.BE,GLNCY,GMEXICOB.MX,GXD.F,HWHG.BE,IPHB.F,IZ1.BE,MT,NPS.MU,NUE,PKX.BE,RIO,RS,STLD,TECK,VALE,VALT.L,AEE,AEP,ATO,AWK,CEG,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,NEE,NRG,PCG,PEG,PPL,SO,SRE,VST,WEC,XEL,CRH,CSX,DE,EME,EMR,ETN,FAST,FTV,HUBB,HWM,MLM,MTZ,NSC,PH,PWR,ROK,TRMB,TT,UNP,URI,VMC,WWD,6443.TW,66T.BE,AOR.BE,ARRY,CSIQ,CWEN,DORL.TA,DQ,ENLT,ENPH,ENRG.TA,FGSGF,FSLR,GCPEF,GRE.MC,HASI,JKS,NOFR.TA,NXT,RUN,S93.BE,SEDG,SHLS,XNYIF,000660.KS,0788.HK,1686.HK,2344.TW,3006.TW,AJBU.SI,AMT,APLD,ARM,CCI,DLR,EQIX,GDS,SBAC,SMCI,UNIT,VNET,ABJA.MU,AEIS,APH,BELFB,BWXT,CAT,ET,GEV,IDA,ITRI,JCI,NI,NVT,OGE,POWL,SU,VRT
2021-12-31,175.77000427246094,,157.36000061035156,143.89999389648438,796.1400146484375,66.54100036621094,,138.5800018310547,51.5,430.1099853515625,71.91500091552734,87.05999755859375,493.3299865722656,87.48999786376953,78.30000305175781,93.1500015258789,29.410999298095703,146.5,227.77999877929688,67.91999816894531,182.8699951171875,29.389999389648438,163.52999877929688,120.30999755859375,188.47000122070312,,59.58000183105469,17.959999084472656,1806.7572302818298,53.83586120605469,,41.72999954223633,,10.079999923706055,4.364316924744315,,,,,31.829999923706055,,114.1500015258789,,66.94000244140625,162.22000122070312,62.06999969482422,28.81999969482422,14.020000457763672,3113.464661116479,89.01000213623047,88.97000122070312,104.7699966430664,188.86000061035156,,27.90999984741211,78.55999755859375,119.54000091552734,104.9000015258789,85.31999969482422,68.25,90.9800033569336,56.32500076293945,41.19828796386719,41.59000015258789,93.36000061035156,43.08000183105469,12.140000343322754,66.7300033569336,30.059999465942383,68.58000183105469,66.13999938964844,22.770000457763672,97.06999969482422,67.69999694824219,52.79999923706055,37.599998474121094,342.8900146484375,127.38999938964844,92.97000122070312,172.82000732421875,32.029998779296875,57.49058151245117,208.27000427246094,31.829999923706055,440.5199890136719,92.27999877929688,297.7099914550781,318.1199951171875,114.66000366210938,348.8500061035156,87.19000244140625,202.02999877929688,251.92999267578125,332.2900085449219,207.5800018310547,109.45999908447266,,,,15.6899995803833,31.290000915527344,36.029998779296875,,40.31999969482422,,182.94000244140625,,4.429999828338623,87.16000366210938,0.2976189851760864,,53.119998931884766,45.959999084472656,,,34.29999923706055,,280.57000732421875,24.299999237060547,1.659999966621399,,1.1029091936808584,0.9464499551791477,,,1.827044788304164,292.5,,,208.74000549316406,176.8699951171875,845.8400268554688,47.15999984741211,389.0199890136719,4.394999980926514,23.272424697875977,9.029999732971191,,91.05999755859375,43.72999954223633,12.930000305175781,47.880001068115234,206.74000549316406,8.229999542236328,,113.30999755859375,68.5199966430664,81.30999755859375,27.610000610351562,38.0,38.380001068115234,29.489999771118164,25.030000686645508,24.969999313354492
2022-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,7.004496407243437,59.58000183105469,17.959999084472656,1806.7572302818298,53.83586120605469,,41.72999954223633,,10.079999923706055,4.364316924744315,,,,,31.829999923706055,,114.1500015258789,,66.94000244140625,162.22000122070312,62.06999969482422,28.81999969482422,14.020000457763672,3113.464661116479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,177.14999389648438,,159.92999267578125,150.24000549316406,797.489990234375,66.33200073242188,,138.38999938964844,53.209999084472656,435.0899963378906,72.5459976196289,88.0,494.8500061035156,89.43000030517578,79.75,95.75,30.121000289916992,147.1199951171875,231.22000122070312,70.16999816894531,186.2100067138672,29.31999969482422,166.11000061035156,128.8000030517578,190.60000610351562,6.963132856185098,60.36000061035156,18.75,1809.95771753788,53.82693862915039,77.55562038455537,41.47999954223633,,10.15999984741211,4.349757626070641,8.103589609265327,,14.256630809211401,,32.119998931884766,3.2266502253935414,113.04000091552734,,66.7300033569336,161.27999877929688,61.65999984741211,29.110000610351562,13.8100004196167,3118.979848106217,88.58000183105469,88.61000061035156,105.01000213623047,184.13999938964844,,27.6200008392334,78.3499984741211,119.18000030517578,103.48999786376953,85.12999725341797,67.51000213623047,89.12999725341797,55.70000076293945,40.70613479614258,41.2400016784668,91.66000366210938,42.959999084472656,12.210000038146973,66.16000366210938,30.139999389648438,68.16999816894531,65.99500274658203,22.739999771118164,96.08999633789062,67.94000244140625,53.20000076293945,37.08000183105469,350.1099853515625,127.36000061035156,91.76000213623047,168.66000366210938,30.989999771118164,55.44084548950195,205.2899932861328,32.33000183105469,439.010009765625,94.18000030517578,292.3500061035156,316.0,112.2699966430664,339.6600036621094,86.68000030517578,194.85000610351562,247.77000427246094,330.6400146484375,207.89999389648438,110.4800033569336,1.491858921240862,,,15.90999984741211,31.329999923706055,35.959999084472656,450.62868332862854,41.970001220703125,,184.4499969482422,431.0081624984741,4.429999828338623,88.58000183105469,0.2976189851760864,33.324234297393104,54.060001373291016,46.369998931884766,3100.6855869293213,,35.470001220703125,,282.45001220703125,23.84000015258789,1.684000015258789,,1.0903138741850853,0.9338217920969853,1.1487261324623717,5.938177935779095,1.8320724699515267,286.3800048828125,,,207.74000549316406,175.08999633789062,836.1099853515625,45.380001068115234,379.8699951171875,4.561999797821045,23.073089599609375,9.010000228881836,36.97241499938673,92.81999969482422,43.25,12.9399995803833,48.529998779296875,207.0,8.710000038146973,,111.87000274658203,68.91999816894531,79.3499984741211,27.520000457763672,37.88999938964844,37.97999954223633,29.75,25.700000762939453,24.3799991607666
2022-01-04,175.5500030517578,,158.36000061035156,144.4199981689453,779.1900024414062,67.09200286865234,,139.22000122070312,53.13999938964844,431.239990234375,71.19999694824219,87.47000122070312,491.25,88.37000274658203,78.58000183105469,96.33999633789062,29.290000915527344,144.8300018310547,232.8699951171875,70.94999694824219,187.22999572753906,28.979999542236328,166.3800048828125,133.39999389648438,190.8000030517578,7.022210477458657,57.529998779296875,19.020000457763672,1845.8592290878296,54.7011604309082,80.5058925303365,42.150001525878906,,10.449999809265137,4.3068438210230795,7.9172225159425125,,14.41036194562912,,32.970001220703125,3.258437020002134,117.06999969482422,,67.5199966430664,163.57000732421875,63.52000045776367,29.200000762939453,13.550000190734863,3109.9803431618493,88.11000061035156,88.6500015258789,106.26000213623047,179.4199981689453,,27.450000762939453,78.0999984741211,119.37999725341797,103.41000366210938,84.97000122070312,66.66999816894531,88.38999938964844,55.63999938964844,40.66333770751953,41.08000183105469,90.68000030517578,42.619998931884766,12.4399995803833,65.98999786376953,29.989999771118164,68.16999816894531,67.18499755859375,22.520000457763672,95.8499984741211,68.37000274658203,54.22999954223633,37.630001068115234,371.2900085449219,130.00999450683594,95.83000183105469,171.4600067138672,31.165000915527344,55.66691970825195,209.5,33.529998779296875,441.510009765625,96.08000183105469,294.7200012207031,324.0400085449219,116.1500015258789,343.1000061035156,85.11000061035156,195.0,252.02999877929688,347.0899963378906,210.52999877929688,112.6500015258789,1.5316165327757858,,,14.970000267028809,31.170000076293945,35.38999938964844,458.2450345158577,42.0099983215332,,178.27999877929688,434.12687480449677,4.429999828338623,87.27999877929688,0.2976189851760864,32.606976284589564,53.63999938964844,46.189998626708984,3054.9668967723846,,34.56999969482422,,273.1000061035156,22.549999237060547,1.659999966621399,107.56018076790497,1.1285378939138297,0.9284788541523881,1.1375902787560221,5.846217270940542,1.8106302613750813,282.7699890136719,,,202.14999389648438,169.08999633789062,814.6300048828125,41.02000045776367,369.4599914550781,4.714000225067139,22.325580596923828,8.369999885559082,37.3931218935104,92.9000015258789,43.3849983215332,13.4399995803833,49.18000030517578,218.0800018310547,8.920000076293945,,112.33000183105469,68.94999694824219,80.33999633789062,27.6200008392334,38.119998931884766,37.880001068115234,30.520000457763672,26.079999923706055,23.920000076293945
2022-01-05,172.83999633789062,,153.74000549316406,136.14999389648438,745.6699829101562,64.30000305175781,,132.08999633789062,53.869998931884766,420.739990234375,69.18099975585938,84.5199966430664,460.5299987792969,84.12000274658203,73.73999786376953,94.4000015258789,27.604000091552734,136.9499969482422,224.57000732421875,67.41999816894531,186.5,27.90999984741211,160.25,127.05999755859375,186.82000732421875,7.028910519801229,58.54999923706055,18.68000030517578,1856.5126547813416,55.35236358642578,78.90639251692392,41.68000030517578,,10.460000038146973,4.36312254322857,8.07907558866691,,14.516383772914878,,33.029998779296875,3.323027594461081,122.72000122070312,,68.70999908447266,166.75,65.95999908447266,29.420000076293945,13.65999984741211,3121.090181147709,88.33000183105469,89.47000122070312,106.5999984741211,178.10000610351562,,27.389999389648438,79.20999908447266,119.25,103.63999938964844,85.55000305175781,65.19999694824219,89.2300033569336,55.77000045776367,40.63480758666992,40.79999923706055,89.7300033569336,41.41999816894531,11.859999656677246,65.83000183105469,30.049999237060547,68.25,67.59500122070312,22.110000610351562,96.95999908447266,69.04000091552734,53.349998474121094,37.439998626708984,372.04998779296875,127.0999984741211,95.69000244140625,169.00999450683594,30.770000457763672,54.4913330078125,204.22999572753906,33.31999969482422,437.1700134277344,94.08000183105469,294.7099914550781,318.3699951171875,109.31999969482422,337.3599853515625,81.61000061035156,192.6699981689453,252.7899932861328,335.0199890136719,208.47999572753906,110.38999938964844,1.5001902955082898,,,13.920000076293945,29.15999984741211,33.970001220703125,476.6042348742485,39.9900016784668,,157.1999969482422,432.510237634182,4.429999828338623,83.51000213623047,0.24801599979400635,32.3840056564236,49.86000061035156,43.560001373291016,3114.786996215582,,31.420000076293945,,249.80999755859375,21.31999969482422,1.5410000085830688,104.88925722893327,1.1419772075893206,0.9020337475334657,1.12769362853669,5.742218263447285,1.7924188122830031,264.57000732421875,,,188.4600067138672,162.8800048828125,789.0999755859375,39.06999969482422,350.7699890136719,4.535999774932861,21.860464096069336,8.239999771118164,37.331520527110115,89.41999816894531,42.560001373291016,13.25,47.84000015258789,219.75,8.8100004196167,,112.37999725341797,66.94999694824219,79.02999877929688,27.770000457763672,37.5,37.77000045776367,29.690000534057617,26.15999984741211,22.84000015258789
2022-01-06,173.38999938964844,,156.33999633789062,136.22999572753906,763.1199951171875,63.702999114990234,,134.97000122070312,54.0099983215332,432.2200012207031,70.19100189208984,85.30000305175781,465.6099853515625,85.52999877929688,74.68000030517578,95.6500015258789,28.17799949645996,137.0,226.9600067138672,67.25,185.9499969482422,28.1299991607666,163.47999572753906,128.47000122070312,186.75999450683594,7.117052424664507,58.45000076293945,18.56999969482422,1800.1897811889648,55.4148063659668,79.49993841304695,40.529998779296875,,10.479999542236328,4.401445356704414,7.77237219141773,,14.362483877986051,,33.4900016784668,3.351057639635883,116.5999984741211,,70.04000091552734,165.49000549316406,64.05000305175781,29.100000381469727,14.010000228881836,3126.674933513277,87.9000015258789,89.18000030517578,105.7699966430664,175.3000030517578,,27.649999618530273,79.05999755859375,119.56999969482422,103.47000122070312,85.37000274658203,64.62000274658203,88.9000015258789,54.82500076293945,40.463623046875,40.939998626708984,85.7699966430664,40.63999938964844,11.819999694824219,65.88999938964844,30.010000228881836,68.16999816894531,68.08000183105469,22.31999969482422,96.3499984741211,68.5,52.95000076293945,37.709999084472656,376.3599853515625,127.86000061035156,96.2300033569336,169.41000366210938,30.94499969482422,54.59683609008789,204.30999755859375,33.650001525878906,437.0899963378906,94.4800033569336,296.6400146484375,324.1300048828125,109.98999786376953,335.1099853515625,82.02999877929688,195.02999877929688,253.49000549316406,335.1700134277344,209.9499969482422,110.41999816894531,1.4566169332976102,,,13.84000015258789,29.170000076293945,34.15999984741211,455.586758852005,39.869998931884766,,151.49000549316406,416.1671953201294,4.429999828338623,83.97000122070312,0.3472220003604889,30.60300805680299,49.41999816894531,43.18000030517578,2956.7903760671616,,31.479999542236328,,248.24000549316406,21.1200008392334,1.531999945640564,104.23181083751842,1.1545567363500595,0.9377566307394076,1.1010377996903244,5.616674590855837,1.7603170482099273,264.8900146484375,,,192.5,160.8000030517578,775.0800170898438,41.849998474121094,349.1700134277344,4.510000228881836,21.578073501586914,8.369999885559082,36.77749188858388,91.80000305175781,42.595001220703125,13.380000114440918,48.20000076293945,221.99000549316406,9.079999923706055,,113.0199966430664,65.80999755859375,80.37999725341797,27.649999618530273,38.27000045776367,37.7400016784668,29.809999465942383,26.579999923706055,23.399999618530273
2022-01-07,168.83999633789062,,150.80999755859375,132.0,756.0999755859375,61.915000915527344,,132.00999450683594,53.439998626708984,416.9100036621094,66.92900085449219,81.93000030517578,444.69000244140625,83.11000061035156,72.4800033569336,94.44999694824219,27.246999740600586,131.99000549316406,221.3300018310547,64.55999755859375,180.41000366210938,27.540000915527344,158.27000427246094,123.5,179.44000244140625,7.120232129898341,62.369998931884766,19.280000686645508,1831.1001892089844,57.41302490234375,80.76140298199516,41.880001068115234,,10.75,4.409289225618863,7.766605988144875,,13.906461523354324,,34.810001373291016,3.4444191782444875,114.44000244140625,,72.23999786376953,166.52999877929688,62.310001373291016,30.40999984741211,14.8100004196167,3121.5969360396266,88.23999786376953,90.80000305175781,105.29000091552734,173.5,,27.65999984741211,80.20999908447266,119.69000244140625,104.5,85.66999816894531,65.0,89.66000366210938,56.064998626708984,40.39942932128906,41.40999984741211,86.41000366210938,40.560001373291016,12.210000038146973,67.0,30.25,68.63999938964844,69.1050033569336,22.709999084472656,97.20999908447266,69.0999984741211,52.959999084472656,37.5099983215332,378.6499938964844,125.56999969482422,95.69000244140625,167.85000610351562,30.315000534057617,54.22004318237305,200.0399932861328,34.0099983215332,429.20001220703125,93.95999908447266,296.80999755859375,323.739990234375,106.69000244140625,327.8800048828125,79.13999938964844,189.27000427246094,254.77999877929688,325.9800109863281,207.9199981689453,112.04000091552734,1.4322427703866083,,,14.119999885559082,29.780000686645508,33.86000061035156,452.82436430454254,40.09000015258789,,145.1300048828125,413.64381647109985,4.429999828338623,84.68000030517578,0.2777779996395111,30.61454912602926,49.0,44.650001525878906,2938.8622395396233,,31.719999313354492,,248.91000366210938,21.8700008392334,1.531999945640564,105.3260121261701,1.1793934517965425,0.915311876406868,1.0875346222319848,5.3765383791178465,1.734095524953375,266.5799865722656,,,194.72999572753906,161.05999755859375,774.9400024414062,42.900001525878906,347.9100036621094,4.4079999923706055,21.661130905151367,8.739999771118164,36.723479198357836,89.56999969482422,41.060001373291016,13.399999618530273,49.029998779296875,224.19000244140625,9.239999771118164,,113.62999725341797,64.77999877929688,79.2699966430664,27.8700008392334,37.369998931884766,37.529998779296875,29.15999984741211,26.559999465942383,22.549999237060547
2022-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,7.289125977611093,62.369998931884766,19.280000686645508,1831.1001892089844,57.41302490234375,80.76140298199516,41.880001068115234,,10.75,4.409289225618863,7.766605988144875,,13.906461523354324,,34.810001373291016,3.4444191782444875,114.44000244140625,,72.23999786376953,166.52999877929688,62.310001373291016,30.40999984741211,14.8100004196167,3121.5969360396266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,170.39999389648438,,149.58999633789062,132.0,727.1699829101562,62.11600112915039,,133.91000366210938,55.209999084472656,418.7300109863281,66.42900085449219,82.93000030517578,449.3299865722656,82.20999908447266,72.83999633789062,93.88999938964844,27.399999618530273,131.36000061035156,221.8300018310547,65.12000274658203,179.67999267578125,27.389999389648438,156.61000061035156,125.01000213623047,182.9600067138672,7.542643811612493,61.540000915527344,18.790000915527344,1828.8454644083977,56.3336296081543,79.95458450321166,41.619998931884766,,10.59000015258789,4.377044504508376,7.8796483308065035,,14.016463969145661,,34.29999923706055,3.4561453335502392,111.86000061035156,,72.70999908447266,162.39999389648438,60.59000015258789,31.200000762939453,14.649999618530273,3135.1319385109528,87.51000213623047,90.5,105.1500015258789,170.02999877929688,,27.690000534057617,79.83000183105469,120.1500015258789,104.55999755859375,84.77999877929688,65.63999938964844,88.98999786376953,55.849998474121094,40.52781677246094,41.52000045776367,84.29000091552734,40.380001068115234,12.229999542236328,66.26000213623047,30.229999542236328,68.52999877929688,68.8499984741211,22.459999084472656,96.9000015258789,69.86000061035156,52.2599983215332,36.540000915527344,379.8599853515625,123.83999633789062,95.30000305175781,166.4199981689453,30.084999084472656,54.32554626464844,196.32000732421875,33.97999954223633,416.25,94.75,287.9700012207031,317.45001220703125,107.7699966430664,330.1499938964844,78.7699966430664,190.13999938964844,250.27999877929688,322.2099914550781,200.0800018310547,110.55000305175781,1.448042324316475,,,14.010000228881836,29.100000381469727,33.150001525878906,430.72989705204964,39.58000183105469,,147.1300048828125,417.8818762600422,4.429999828338623,84.30000305175781,0.2976189851760864,30.542152067033385,47.88999938964844,44.689998626708984,2826.564574241638,,31.520000457763672,,255.47000122070312,21.530000686645508,1.6050000190734863,104.02045509545133,1.1797638708142841,0.9220111385348915,1.0985855003646208,5.49569708108902,1.7105989583846082,264.4100036621094,,,190.6699981689453,159.24000549316406,764.3300170898438,44.7400016784668,342.5799865722656,4.418000221252441,21.378738403320312,9.180000305175781,35.38025381954685,88.79000091552734,40.959999084472656,13.8100004196167,48.29999923706055,221.63999938964844,9.119999885559082,,112.66000366210938,64.45999908447266,78.41000366210938,27.770000457763672,36.65999984741211,37.540000915527344,29.5,26.610000610351562,23.540000915527344
2022-01-11,173.6300048828125,,152.4499969482422,137.30999755859375,729.1599731445312,62.20500183105469,,135.08999633789062,55.90999984741211,425.6099853515625,67.32099914550781,84.61000061035156,452.510009765625,86.2300033569336,73.61000061035156,94.19999694824219,27.816999435424805,135.11000061035156,227.5399932861328,65.93000030517578,185.39999389648438,27.690000534057617,160.5399932861328,129.1699981689453,184.63999938964844,7.636854703089455,62.20000076293945,19.020000457763672,1822.478128194809,57.52899169921875,78.57644290293047,42.9900016784668,,10.630000114440918,4.419349385633041,7.817988110355543,,14.961816083175336,,35.38999938964844,3.5101633650476174,110.83999633789062,,74.41999816894531,164.17999267578125,60.970001220703125,32.439998626708984,15.239999771118164,3132.3647213474906,86.97000122070312,89.7699966430664,104.63999938964844,168.30999755859375,,27.399999618530273,79.12999725341797,118.77999877929688,103.2300033569336,83.06999969482422,64.36000061035156,86.62999725341797,54.369998931884766,39.671897888183594,41.36000061035156,84.79000091552734,40.880001068115234,12.170000076293945,65.8499984741211,29.950000762939453,67.6500015258789,67.91999816894531,22.510000228881836,95.31999969482422,68.5999984741211,53.36000061035156,36.29999923706055,380.54998779296875,124.66000366210938,96.37999725341797,167.75999450683594,30.145000457763672,55.32780838012695,200.3300018310547,33.91999816894531,419.3299865722656,96.56999969482422,286.4200134277344,321.3699951171875,109.9800033569336,335.0,79.48999786376953,193.47999572753906,246.4199981689453,333.989990234375,200.44000244140625,113.44999694824219,1.4636071640781267,,,14.40999984741211,29.510000228881836,33.61000061035156,433.41917276382446,39.599998474121094,,148.50999450683594,426.4079802632332,4.429999828338623,84.44999694824219,0.3472220003604889,31.15864783525467,48.720001220703125,45.56999969482422,2830.928317397833,,32.72999954223633,,261.0899963378906,22.780000686645508,1.6050000190734863,106.8367213010788,1.1416842492826902,0.924892565584102,1.0775903014821608,5.253832601010799,1.6964277988635388,260.489990234375,,,187.58999633789062,159.02999877929688,766.8800048828125,46.22999954223633,341.69000244140625,4.491000175476074,21.34551429748535,9.1899995803833,35.96072175639506,90.25,41.30500030517578,14.010000228881836,48.81999969482422,219.9499969482422,9.329999923706055,,110.5199966430664,64.52999877929688,79.55999755859375,27.809999465942383,36.970001220703125,37.2599983215332,29.139999389648438,27.979999542236328,23.969999313354492
